Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,FEN,Top_10_Moves
h5g6,h5,g6,b,,False,r3k2r/pp1n1ppp/2pqpn2/3p3b/2PP2P1/2N1PN1P/PP2BP2/R2QK2R b KQkq - 0 10,"['h5g6', 'b7b5', 'h5g4', 'f6g4', 'd6b4', 'd7b6', 'd5c4', 'f6e4', 'g7g6', 'c6c5']"
e8c8,e8,c8,k,,False,r3k2r/pp1n1ppp/2pqpnb1/3p4/2PP2PN/2N1P2P/PP2BP2/R2QK2R b KQkq - 2 11,"['g6e4', 'f6e4', 'd5c4', 'a8d8', 'd6e7', 'd6b4', 'e8c8', 'e8g8', 'f6g8', 'd6c7']"
h7g6,h7,g6,p,N,False,2kr3r/pp1n1ppp/2pqpnN1/3p4/2PP2P1/2N1P2P/PP2BP2/R2QK2R b KQ - 0 12,"['h7g6', 'f7g6', 'd6b4', 'h8e8', 'h8g8', 'd7f8', 'd7b6', 'f6g4', 'd7e5', 'f6e4']"
g6g5,g6,g5,p,,False,2kr3r/pp1n1pp1/2pqpnp1/3p4/2PP2P1/2N1PB1P/PP3P2/R2QK2R b KQ - 1 13,"['d5c4', 'd6e7', 'g6g5', 'a7a6', 'f6e8', 'd6b4', 'f6h7', 'c8b8', 'd8f8', 'd6c7']"
e6e5,e6,e5,p,,False,2kr3r/pp1n1pp1/2pqpn2/3p2p1/2PP2P1/2N1P2P/PP3PB1/R2QK2R b KQ - 1 14,"['d5c4', 'a7a6', 'd6e7', 'd6b4', 'd8e8', 'a7a5', 'c8b8', 'd6f8', 'f6e8', 'd6c7']"
f6d5,f6,d5,n,P,False,2kr3r/pp1n1pp1/2pq1n2/3Pp1p1/3P2P1/2N1P2P/PP3PB1/R2QK2R b KQ - 0 15,"['c6d5', 'f6d5', 'e5d4', 'c6c5', 'd7b8', 'd7b6', 'h8e8', 'd6b4', 'h8h6', 'a7a5']"
c6d5,c6,d5,p,N,False,2kr3r/pp1n1pp1/2pq4/3Np1p1/3P2P1/4P2P/PP3PB1/R2QK2R b KQ - 0 16,"['c6d5', 'h8e8', 'e5d4', 'd7f8', 'd8e8', 'd6e6', 'h8h4', 'a7a5', 'd7b8', 'f7f6']"
c8b8,c8,b8,k,,False,2kr3r/pp1n1pp1/3q4/3pp1p1/3P2P1/4P2P/PP3PB1/2RQK2R b K - 1 17,"['c8b8', 'd7c5', 'd6c6', 'd6c5', 'd6c7']"
e5e4,e5,e4,p,,False,1k1r3r/pp1n1pp1/3q4/3pp1p1/3P2P1/4P2P/PP3PB1/2RQ1RK1 b - - 3 18,"['e5e4', 'a7a6', 'f7f6', 'd6e6', 'f7f5', 'd7b6', 'h8h6', 'a7a5', 'g7g6', 'h8e8']"
f7f5,f7,f5,p,,False,1k1r3r/pp1n1pp1/3q4/3p2p1/3Pp1P1/1Q2P2P/PP3PB1/2R2RK1 b - - 1 19,"['d7b6', 'd8c8', 'f7f6', 'f7f5', 'g7g6', 'h8f8', 'h8e8', 'd6e6', 'a7a6', 'h8h6']"
d7f6,d7,f6,n,,False,1k1r3r/pp1n2p1/3q4/3p1pp1/3Pp1P1/1Q2PP1P/PP4B1/2R2RK1 b - - 0 20,"['f5g4', 'g7g6', 'd6g3', 'e4f3', 'd7b6', 'a7a6', 'h8h3', 'd8f8', 'd8e8', 'h8f8']"
f5g4,f5,g4,p,P,False,1k1r3r/pp4p1/3q1n2/3p1pp1/3Pp1P1/1QR1PP1P/PP4B1/5RK1 b - - 2 21,"['e4f3', 'f5f4', 'd8d7', 'g7g6', 'd6g3', 'a7a6', 'h8e8', 'd8f8', 'd8e8', 'a7a5']"
f6g4,f6,g4,n,P,False,1k1r3r/pp4p1/3q1n2/3p2p1/3Pp1P1/1QR1P2P/PP4B1/5RK1 b - - 0 22,"['d6g3', 'f6g4', 'd8d7', 'b8a8', 'd8c8', 'a7a6', 'h8h6', 'g7g6', 'h8e8', 'd6e7']"
d6g3,d6,g3,q,,False,1k1r3r/pp4p1/3q4/3p2p1/3Pp1P1/1QR1P3/PP4B1/5RK1 b - - 0 23,"['d6h2', 'd8d7', 'd6g3', 'h8h6', 'b7b6', 'h8f8', 'd8f8', 'a7a5', 'd6h6', 'b8a8']"
d8d5,d8,d5,r,Q,False,1k1r3r/pp4p1/8/3Q2p1/3Pp1P1/2R1P1q1/PP4B1/5RK1 b - - 0 24,"['d8d5', 'g3h2', 'h8h1', 'g3g2', 'd8e8', 'b8a8', 'h8f8', 'g7g6', 'g3h4', 'a7a5']"
c7c6,c7,c6,p,,False,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"['d7d5', 'c7c5', 'b8c6', 'g8f6', 'e7e5', 'c7c6', 'd7d6', 'e7e6', 'b7b6', 'a7a5']"
