Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,FEN,Top_10_Moves
e6e8,e6,e8,R,r,False,4rr1k/pb1n1q1p/1p2R1p1/2p2p2/3P4/2P3N1/PPQN1PPP/4R1K1 w - - 1 20,"['e6e8', 'e6e2', 'c2b3', 'e6e3', 'd4d5', 'e6e5', 'd2f3', 'c3c4', 'd4c5', 'g3h5']"
e1e8,e1,e8,R,r,True,4r2k/pb1n1q1p/1p4p1/2p2p2/3P4/2P3N1/PPQN1PPP/4R1K1 w - - 0 21,"['e1e8', 'c2d1', 'c2b1', 'c2c1', 'd2f3', 'e1e2', 'e1a1', 'g3e2', 'e1e3', 'e1d1']"
h2h3,h2,h3,P,,False,4q2k/pb1n3p/1p4p1/2p2p2/3P4/2P3N1/PPQN1PPP/6K1 w - - 0 22,"['c2c1', 'c2a4', 'c2d3', 'g3f1', 'd2b3', 'd2f1', 'c2d1', 'h2h4', 'h2h3', 'd2c4']"
d2f1,d2,f1,N,,False,7k/pb1n3p/1p4p1/2p2p2/3P4/2P3NP/PPQN1PP1/4q1K1 w - - 1 23,"['g3f1', 'd2f1', 'g1h2']"
d4c5,d4,c5,P,p,False,7k/pb5p/1p3np1/2p2p2/3P4/2P3NP/PPQ2PP1/4qNK1 w - - 3 24,"['g3e2', 'c2d3', 'd4c5', 'c2e2', 'c3c4', 'c2b3', 'a2a3', 'b2b3', 'a2a4', 'h3h4']"
c2d2,c2,d2,Q,,False,7k/pb5p/5np1/2p2p2/8/2P3NP/PPQ2PP1/4qNK1 w - - 0 25,"['c2b3', 'c2a4', 'c2d3', 'c2e2', 'g3e2', 'a2a3', 'c2d2', 'c3c4', 'f2f3', 'b2b3']"
f1e3,f1,e3,N,,False,7k/pb2q2p/5np1/2p2p2/8/2P3NP/PP1Q1PP1/5NK1 w - - 2 26,"['c3c4', 'g3e2', 'f1h2', 'g1h2', 'd2g5', 'b2b4', 'g3h1', 'd2c2', 'd2e2', 'f2f3']"
e3f5,e3,f5,N,,False,7k/pb2q2p/5np1/2p5/5p2/2P1N1NP/PP1Q1PP1/6K1 w - - 0 27,"['e3c2', 'e3d1', 'e3f5', 'e3g4', 'e3f1', 'g3f5', 'g3f1', 'e3c4', 'c3c4', 'd2e1']"
g3f5,g3,f5,N,p,False,7k/pb2q2p/5n2/2p2p2/5p2/2P3NP/PP1Q1PP1/6K1 w - - 0 28,"['g3f5', 'd2f4', 'g3e2', 'g3f1', 'g3h1', 'd2e2', 'd2d8', 'd2d6', 'd2e1', 'g3h5']"
d2d8,d2,d8,Q,,True,7k/pb5p/5n2/2p2N2/4qp2/2P4P/PP1Q1PP1/6K1 w - - 1 29,"['d2d8', 'f5h4', 'f2f3', 'g1f1', 'd2d5', 'f5e3', 'g2g4', 'g2g3', 'a2a3', 'b2b3']"
f5h4,f5,h4,N,,False,3Q2nk/pb5p/8/2p2N2/4qp2/2P4P/PP3PP1/6K1 w - - 3 30,"['d8g5', 'f5h4', 'd8g8', 'f2f3', 'f5e3', 'g1f1', 'd8d4', 'd8d5', 'd8f6', 'g2g4']"
g1h2,g1,h2,K,,False,3Q2nk/pb5p/8/2p5/5p1N/2P4P/PP3PP1/4q1K1 w - - 5 31,['g1h2']
